espessura,peso,densidade,umidade,linha,fornecedor,lote,qualidade
1.23,517.4,1.14,4.163717818646829,C,local,reciclado,reprovado
1.28,483.6,0.98,0.4926732412349649,B,importado,reciclado,reprovado
0.83,483.5,1.11,14.997356252952933,A,local,reciclado,reprovado
,507.3,0.93,,C,local,novo,reprovado
1.44,487.1,1.15,5.080648137122376,A,importado,novo,reprovado
1.1,516.7,1.2,0.2890795745817687,A,importado,novo,reprovado
1.47,513.6,1.01,9.589375926911567,B,importado,reciclado,reprovado
0.95,492.3,1.05,,A,importado,novo,reprovado
1.5,515.6,1.03,10.606090629490009,C,local,,reprovado
1.29,481.7,1.17,1.2557161285470793,B,local,novo,reprovado
1.34,501.9,0.9,6.034175582603344,A,importado,novo,reprovado
1.08,517.4,1.1,1.6377519409133712,A,importado,reciclado,reprovado
1.43,514.2,1.1,13.682408244014214,A,importado,novo,reprovado
1.18,494.2,1.01,4.956217064288712,B,local,reciclado,aprovado
1.28,487.3,0.97,11.000647940110067,C,local,reciclado,reprovado
0.87,488.4,0.97,1.2703553701365995,,importado,novo,reprovado
1.24,500.6,1.14,1.9262204369315927,A,importado,reciclado,aprovado
1.42,503.9,0.92,10.19231493076027,B,local,novo,
0.92,481.3,1.07,12.652199225432538,A,local,novo,reprovado
1.32,496.5,0.99,3.021749344969184,B,importado,novo,reprovado
0.82,513.2,0.98,6.2750586899559515,A,local,novo,
1.45,497.8,1.05,9.291255520546901,B,importado,novo,reprovado
1.49,486.8,1.17,11.944145088904088,A,importado,novo,reprovado
1.05,518.2,1.09,9.422949155689217,A,importado,,reprovado
0.87,490.7,1.14,1.4313888096386507,B,local,novo,reprovado
1.26,,1.08,8.14228992501126,B,local,reciclado,reprovado
0.82,487.8,1.11,13.269100222148552,A,local,reciclado,reprovado
1.14,496.9,1.03,13.02035581535976,C,importado,novo,reprovado
0.99,499.6,1.18,8.77523411626442,A,importado,novo,reprovado
1.13,500.0,1.05,14.935443101562583,A,importado,novo,reprovado
0.81,500.7,1.07,1.5768558357653313,C,importado,reciclado,reprovado
0.84,489.0,1.06,7.1789303608747925,A,importado,reciclado,reprovado
0.81,500.6,0.99,11.626854590291106,B,importado,novo,reprovado
1.23,499.3,0.97,2.1155717717123883,B,importado,reciclado,aprovado
1.19,488.3,0.92,14.59124642224282,C,importado,reciclado,reprovado
,519.5,1.12,5.3106981777546745,A,local,reciclado,reprovado
1.25,514.6,0.99,5.252096309678863,B,importado,reciclado,reprovado
1.42,515.5,1.02,,A,importado,novo,reprovado
0.99,507.4,1.18,4.3202619609989155,C,importado,,reprovado
1.38,486.4,1.07,8.66383350109646,B,local,novo,reprovado
1.26,502.7,0.93,6.4403143357643176,C,local,reciclado,aprovado
0.82,512.9,1.14,2.900672674900953,A,importado,reciclado,reprovado
1.06,481.5,0.98,12.137099104747039,A,local,reciclado,reprovado
1.16,499.8,1.07,0.9335896068608951,A,importado,reciclado,aprovado
1.31,495.8,,12.519791167504078,C,local,novo,reprovado
1.0,488.5,0.97,4.1240808697186875,B,local,novo,reprovado
1.49,495.1,0.93,7.438549996439577,C,importado,novo,reprovado
1.28,519.3,0.96,5.7159680788258775,B,local,novo,reprovado
1.06,508.9,0.93,8.559031700845711,A,importado,novo,reprovado
,492.0,0.98,11.939849927102632,A,importado,novo,reprovado
0.93,504.2,,14.839796902120424,C,local,novo,reprovado
1.14,489.9,,4.5908871848085235,B,local,reciclado,reprovado
1.15,504.4,1.16,8.307066185453007,A,importado,novo,reprovado
1.34,515.8,1.06,6.990113231624961,A,importado,reciclado,reprovado
1.31,502.3,1.1,14.983922389696811,C,importado,novo,reprovado
0.94,509.3,0.95,12.133704457491735,C,importado,novo,reprovado
1.22,498.1,0.98,5.956257878702892,B,local,novo,aprovado
0.81,501.0,1.05,7.153185834114696,,local,novo,reprovado
1.08,507.8,1.16,3.6893489163989,B,importado,novo,aprovado
1.33,512.5,0.91,11.328709796232397,B,importado,reciclado,reprovado
1.08,506.4,1.05,12.678176795676633,B,importado,reciclado,reprovado
,519.1,0.92,14.474802354343804,C,importado,reciclado,reprovado
1.48,512.8,1.04,8.487433452266956,B,importado,novo,reprovado
1.23,511.1,1.09,10.060245033561593,B,importado,novo,reprovado
0.9,,,6.6908824750418905,B,importado,reciclado,reprovado
1.07,491.2,0.94,9.136927655064655,C,local,novo,reprovado
0.81,497.3,0.95,5.231235453601962,C,local,reciclado,reprovado
1.22,502.6,1.04,11.065336747809587,A,importado,reciclado,reprovado
1.38,498.5,1.2,0.3405054863156609,C,local,novo,reprovado
1.24,513.9,1.01,0.4268527453797538,C,importado,novo,reprovado
1.35,481.1,1.03,10.741813352798971,B,local,novo,reprovado
1.36,488.4,1.03,13.960242046877491,A,importado,reciclado,
1.4,515.3,0.92,,C,importado,novo,reprovado
0.99,482.4,1.13,10.897924485055453,A,importado,novo,reprovado
1.41,489.1,0.98,12.359014368272515,B,local,novo,reprovado
1.26,494.1,1.11,5.425113966953691,C,local,novo,aprovado
1.0,510.0,,1.6217048633911257,B,local,reciclado,aprovado
1.49,502.4,1.08,13.996384308751445,B,importado,reciclado,reprovado
1.47,518.2,0.92,14.078558475036603,A,local,novo,reprovado
1.2,,1.17,6.627608333581185,C,importado,novo,reprovado
1.39,514.9,0.97,3.2575448549192068,A,importado,reciclado,reprovado
0.98,491.3,1.1,13.385315741549835,B,,novo,reprovado
1.09,,1.14,10.626400456278798,C,local,reciclado,reprovado
0.93,499.9,1.06,0.12342525820442707,B,local,novo,reprovado
1.16,482.8,1.0,1.6157955218862374,A,local,novo,reprovado
1.15,495.4,1.19,14.747994641576168,A,local,reciclado,reprovado
,494.2,0.98,0.5719226821221701,B,local,novo,reprovado
1.27,486.4,1.18,4.238325155454331,A,local,novo,reprovado
0.88,514.4,0.95,8.227445170592047,A,importado,reciclado,reprovado
0.84,495.4,1.02,2.765334243083183,B,importado,novo,reprovado
1.07,519.3,0.94,3.4808112954443846,C,local,,reprovado
1.09,516.0,0.9,5.294512298430033,C,importado,novo,reprovado
1.02,487.8,0.98,4.043314024844304,C,importado,,reprovado
0.98,500.2,0.93,12.050343418800107,,importado,reciclado,
1.04,504.1,1.2,7.504117100889072,B,local,reciclado,aprovado
0.91,512.8,1.13,4.179302213664156,A,local,reciclado,reprovado
1.08,515.4,0.9,4.696440502420476,C,local,novo,reprovado
1.43,505.0,0.97,0.5979743938204707,A,importado,reciclado,reprovado
0.96,481.4,1.1,0.740881142713134,B,local,novo,reprovado
1.28,499.3,1.02,10.768613495383262,C,importado,novo,reprovado
0.9,515.4,1.15,1.6936625560667107,B,local,reciclado,reprovado
1.05,508.6,1.05,7.136951620226728,A,importado,reciclado,
1.02,514.8,1.1,12.635484642836952,A,local,novo,
1.46,507.0,1.08,5.526802585908017,B,importado,novo,
1.1,481.8,1.09,5.186283405160589,,importado,reciclado,reprovado
1.28,518.7,0.97,13.095724136804577,C,,reciclado,reprovado
1.22,516.7,1.01,12.972755949745089,B,local,reciclado,reprovado
0.9,485.1,0.92,13.202052021904256,A,local,reciclado,reprovado
1.46,484.5,1.08,8.578709401976383,A,importado,novo,reprovado
1.04,501.6,1.04,14.284564103598905,B,local,reciclado,reprovado
0.83,510.3,1.13,12.28445921726066,B,local,reciclado,reprovado
1.01,,0.96,6.234516404285531,C,local,novo,
1.03,485.5,1.03,9.443327129100576,A,local,novo,reprovado
0.86,500.4,0.95,1.8268362413746453,A,importado,reciclado,reprovado
1.23,493.5,1.08,8.269982789262771,,importado,novo,reprovado
1.04,494.1,1.15,3.9472362533140304,,importado,reciclado,aprovado
1.24,505.8,1.13,4.253208397670533,A,importado,reciclado,aprovado
0.8,515.4,1.18,1.8857734939188724,B,importado,novo,reprovado
1.49,502.3,1.19,5.372988353608898,C,importado,reciclado,reprovado
0.92,507.5,1.13,7.220854954487365,,importado,reciclado,reprovado
1.26,506.4,0.99,9.005316617802947,C,local,reciclado,reprovado
1.3,502.0,0.97,4.573040044039644,C,importado,reciclado,aprovado
0.92,492.4,1.03,11.88372351465137,B,importado,novo,reprovado
0.88,495.1,,7.814399424055771,C,importado,novo,reprovado
0.91,,1.02,9.570781634335962,,local,novo,reprovado
0.97,516.7,0.96,4.172154134677993,A,local,reciclado,reprovado
0.92,513.1,1.18,12.212038185183971,B,importado,novo,reprovado
1.27,503.2,1.02,9.364116758489057,C,importado,reciclado,reprovado
1.09,516.5,1.11,12.935231241737355,,local,novo,reprovado
1.18,515.5,1.14,2.399273684074417,A,local,reciclado,reprovado
0.83,517.1,1.15,5.709949003964979,B,importado,reciclado,reprovado
1.4,,1.15,1.695242760858895,A,importado,novo,reprovado
0.92,508.7,1.15,3.232909663565887,C,importado,reciclado,reprovado
1.05,504.4,1.1,5.9182125672730495,B,importado,novo,aprovado
0.85,509.4,1.02,13.418728614890613,C,importado,reciclado,reprovado
0.9,490.5,1.1,8.35561003607856,B,importado,novo,reprovado
1.27,507.8,1.15,4.955674960713874,A,importado,novo,aprovado
1.28,496.4,1.01,11.203487443193886,A,local,novo,reprovado
1.27,513.4,0.99,0.29524059291452187,C,importado,novo,reprovado
1.19,511.8,1.0,5.551383168640019,A,local,reciclado,reprovado
1.47,488.5,1.07,9.012475448900677,,local,reciclado,reprovado
1.16,487.4,0.92,8.748559557933032,C,local,reciclado,reprovado
1.11,508.7,1.13,9.113368236637413,C,importado,novo,reprovado
0.97,502.0,0.94,3.17251147221699,C,local,novo,reprovado
0.87,502.3,0.94,5.056187294902182,B,local,reciclado,reprovado
1.18,510.1,0.96,13.9734817817194,C,importado,novo,reprovado
1.02,514.2,1.07,14.609632969300462,B,importado,reciclado,reprovado
1.17,489.6,0.99,4.680575269978421,C,importado,novo,reprovado
0.94,502.2,1.01,9.667555551131315,B,importado,novo,reprovado
1.39,513.2,1.18,3.6194516870535876,C,importado,novo,reprovado
1.5,514.9,1.15,5.527930004605716,B,importado,reciclado,reprovado
1.03,491.5,1.16,11.885020452239457,A,importado,novo,reprovado
1.39,484.2,1.07,7.517680950096235,C,importado,reciclado,reprovado
1.41,489.3,1.16,12.743849397623096,C,importado,novo,reprovado
1.5,517.8,1.13,9.431103684885855,B,importado,reciclado,reprovado
1.04,498.5,1.19,9.433817777192228,A,local,reciclado,reprovado
1.33,496.7,0.92,0.5082004222173764,A,importado,reciclado,reprovado
0.96,480.5,0.91,11.245055388628643,B,local,novo,reprovado
1.24,482.0,0.95,14.667997919257457,C,local,reciclado,reprovado
1.29,506.7,1.18,7.095428403800771,A,importado,reciclado,
1.32,503.6,1.08,2.3787002243875826,C,importado,reciclado,reprovado
0.95,503.0,1.03,14.65466507070809,B,importado,reciclado,reprovado
1.39,484.4,1.05,4.3518881222679955,C,importado,reciclado,
1.09,494.1,1.15,6.137969336057557,A,local,reciclado,aprovado
0.95,,1.18,1.1604962115229749,B,importado,reciclado,reprovado
1.18,487.0,1.12,1.6625529853862786,A,local,,reprovado
1.4,515.3,1.13,3.248485058391095,C,local,reciclado,reprovado
1.48,484.9,1.0,8.226990976353015,,importado,novo,reprovado
1.32,486.8,1.04,8.366838027966121,B,importado,reciclado,
0.8,499.1,1.17,9.09365734264323,A,local,,reprovado
0.89,,1.14,8.757254355113945,A,importado,reciclado,reprovado
0.85,493.2,1.11,7.428554746251217,A,importado,reciclado,reprovado
0.87,,0.92,12.031479819031636,B,importado,reciclado,reprovado
1.07,503.5,0.91,14.008495460608087,C,importado,reciclado,reprovado
1.04,486.0,0.94,4.046419999188441,C,importado,novo,reprovado
0.88,,1.07,1.9529052345965237,C,importado,novo,reprovado
1.42,517.2,,6.37630940858937,A,importado,novo,
1.23,,1.18,0.39633562640963904,B,local,reciclado,reprovado
1.36,507.8,1.11,13.249783105675148,A,importado,,reprovado
1.06,518.6,0.99,3.595593903694862,B,local,reciclado,reprovado
1.09,484.8,,8.239449446224425,A,local,novo,reprovado
1.02,496.0,1.15,1.7264248484471356,B,importado,novo,aprovado
1.11,489.0,1.04,8.298860088649263,,importado,reciclado,reprovado
1.23,,1.1,0.584901793527966,,importado,reciclado,reprovado
1.15,484.8,1.07,,B,,reciclado,reprovado
1.39,506.0,0.93,14.33132193965872,C,local,novo,reprovado
1.43,,0.92,4.604640974153932,C,importado,,reprovado
1.13,507.1,1.01,3.873219156814389,B,importado,novo,aprovado
0.97,517.0,1.01,6.719924573802603,B,importado,reciclado,reprovado
1.46,485.8,1.1,9.299604903755638,C,importado,reciclado,reprovado
1.31,492.8,1.09,2.83443692987712,A,local,reciclado,reprovado
1.25,493.8,1.19,12.049619958943163,C,local,novo,reprovado
1.32,489.3,1.16,2.978022200256162,B,local,novo,
0.85,485.7,1.05,0.0821132997556201,A,local,reciclado,reprovado
0.85,499.5,1.05,7.8637587537836175,B,local,novo,reprovado
0.91,513.4,1.1,1.7272456674886767,C,importado,novo,reprovado
0.9,518.2,0.93,10.473580880805962,A,local,novo,reprovado
1.09,,1.2,2.512049938027578,C,importado,novo,reprovado
0.91,512.9,1.06,12.26070593280053,C,local,reciclado,reprovado
1.4,513.0,1.17,7.05552199313997,C,local,novo,reprovado
1.2,495.6,1.19,8.494168569249938,A,importado,reciclado,reprovado
1.06,484.4,1.07,,C,local,,reprovado
,519.6,0.93,2.200321162956943,A,importado,novo,reprovado
1.21,506.2,1.07,9.46938699780318,C,importado,novo,reprovado
0.88,519.3,1.08,3.8319092301252775,C,importado,novo,reprovado
1.32,499.3,1.14,5.7888835247663675,B,importado,novo,
1.36,,0.91,7.19173730905479,C,local,novo,reprovado
1.18,489.9,1.04,3.4445040837140954,A,local,reciclado,reprovado
0.9,519.3,1.18,11.931357158395553,B,importado,novo,reprovado
1.35,490.1,1.2,14.091366133633583,A,importado,reciclado,reprovado
1.02,481.0,0.96,6.478397430903416,C,local,reciclado,reprovado
0.96,500.5,1.16,13.763225767331454,B,local,novo,reprovado
1.13,495.1,0.94,13.240242260135378,B,importado,reciclado,reprovado
1.45,490.5,1.15,2.4907084308018868,B,importado,novo,reprovado
1.01,505.4,0.98,2.600729187343698,A,importado,reciclado,aprovado
1.43,494.6,1.19,7.161075922055755,,importado,reciclado,reprovado
,496.1,1.11,7.887857688479304,B,local,novo,reprovado
,480.9,1.02,5.116945884785872,A,importado,novo,reprovado
1.29,503.6,,,A,local,reciclado,aprovado
0.93,484.9,0.97,6.470509347023184,A,importado,reciclado,reprovado
1.02,488.6,1.1,10.357189220988014,C,importado,novo,reprovado
,508.7,1.17,1.2659044951782161,A,local,,reprovado
,492.5,1.13,10.658730052685105,A,local,novo,reprovado
1.0,486.5,1.15,13.893603924482022,B,local,reciclado,reprovado
1.32,503.1,1.13,11.452600632615443,C,,,reprovado
1.29,,1.19,2.875152845192386,B,importado,reciclado,reprovado
1.47,490.8,1.13,1.3122178316571294,A,importado,novo,reprovado
1.31,504.9,0.96,7.355706134843084,A,importado,novo,reprovado
1.29,509.6,,14.346091337684806,B,importado,reciclado,reprovado
1.29,,1.0,12.285889310832312,C,local,reciclado,reprovado
1.42,499.3,1.2,8.441004585194893,C,importado,novo,reprovado
1.01,498.2,1.01,2.144721351263892,B,local,reciclado,aprovado
1.01,511.5,0.99,10.707551731673933,A,importado,novo,
1.32,487.7,0.97,12.194973579113471,C,importado,reciclado,reprovado
0.96,486.1,1.1,14.026037046387648,C,local,reciclado,reprovado
1.44,506.6,0.93,9.181743512398729,B,importado,reciclado,reprovado
1.17,496.4,1.19,7.716987219681128,C,importado,novo,aprovado
1.01,508.4,0.99,9.287730653515188,A,local,novo,reprovado
1.34,490.3,0.99,14.148787569878168,B,local,novo,reprovado
1.02,493.0,0.91,9.421906292599262,C,local,novo,reprovado
1.47,515.9,0.97,3.863877740905614,A,importado,reciclado,reprovado
1.49,496.9,1.03,9.542271119135194,A,local,reciclado,reprovado
1.27,503.6,,13.196168592023321,B,local,novo,reprovado
0.88,,0.98,8.505030428940254,B,importado,,reprovado
0.98,487.2,0.91,7.5404824201456115,A,local,novo,
1.16,481.4,0.99,11.00053874253772,A,importado,reciclado,reprovado
,497.0,1.13,9.914830427172182,C,local,,reprovado
0.93,519.6,1.03,0.8503139843053337,C,,reciclado,reprovado
0.87,515.0,0.99,10.879667113461462,C,,novo,reprovado
0.85,505.3,0.99,6.113241451291269,C,local,reciclado,
1.15,514.4,1.07,14.113474200461056,C,local,,reprovado
1.42,503.8,0.99,14.562044826278122,B,local,novo,reprovado
0.83,494.8,1.09,6.731082271868253,C,importado,novo,reprovado
0.95,486.9,1.2,14.53192269986884,C,local,reciclado,reprovado
1.29,506.1,0.91,4.662307724339944,C,importado,reciclado,aprovado
1.38,487.7,0.95,10.239666321779668,A,importado,novo,reprovado
1.37,496.7,0.95,1.1258206666412645,C,importado,novo,reprovado
1.35,513.0,1.03,2.174840227731708,B,local,reciclado,reprovado
0.89,485.2,0.91,12.967888535667276,A,local,novo,reprovado
1.08,485.2,1.04,13.406760589454452,A,local,novo,reprovado
1.49,489.0,1.18,7.989167879546171,C,local,reciclado,reprovado
1.49,502.1,0.9,5.096601404203729,A,importado,novo,reprovado
1.22,490.1,1.01,6.765358976459257,C,importado,reciclado,aprovado
1.3,500.1,1.13,13.04436733716984,C,importado,novo,reprovado
1.47,492.1,0.95,3.1649013393137686,C,local,novo,reprovado
1.11,500.2,,4.423053469523946,B,importado,novo,aprovado
0.9,491.1,1.09,11.781644013791515,A,importado,reciclado,reprovado
1.27,519.2,0.9,14.029041688746236,A,importado,novo,reprovado
1.47,499.7,1.14,1.3939101002325645,A,importado,reciclado,reprovado
1.29,509.7,0.92,,A,importado,,reprovado
1.36,508.0,1.06,9.676024603977366,A,local,reciclado,reprovado
1.1,499.6,1.12,3.4615731669607337,C,importado,novo,aprovado
0.87,489.6,0.97,11.33725794997152,C,importado,novo,reprovado
0.92,500.4,0.93,10.918740974989918,C,importado,novo,reprovado
1.49,507.2,0.95,2.130447173241171,B,importado,reciclado,reprovado
1.15,498.4,1.16,7.53376586117083,B,importado,reciclado,aprovado
0.81,483.3,1.11,11.374366242759987,B,local,reciclado,
1.47,480.7,0.96,2.8731619021171877,B,importado,reciclado,reprovado
1.15,493.1,1.11,6.941490335867552,A,local,novo,
1.39,,1.11,1.811116870429671,B,local,reciclado,reprovado
1.18,516.2,1.2,,A,local,novo,reprovado
0.87,487.0,1.02,3.269173513523013,A,local,reciclado,reprovado
1.23,495.8,1.16,7.5760669008728385,A,local,reciclado,aprovado
1.5,508.5,1.03,2.1182300223112867,C,importado,reciclado,reprovado
0.82,512.6,1.17,5.747261330887693,C,importado,reciclado,reprovado
1.39,499.1,0.93,4.127443574784891,A,local,reciclado,reprovado
0.96,487.2,0.95,11.19073371310465,B,local,novo,reprovado
1.08,490.8,1.15,10.495046597030157,A,local,novo,reprovado
1.06,496.8,1.15,1.4239579449843416,C,local,reciclado,aprovado
1.43,494.6,0.99,,B,importado,novo,reprovado
1.15,493.9,1.08,11.170243771201331,C,importado,novo,reprovado
1.11,485.3,1.01,9.239380436216527,B,local,reciclado,reprovado
1.37,516.5,0.9,7.16552242177027,C,importado,reciclado,reprovado
0.83,481.2,,2.6688363114815843,A,local,reciclado,reprovado
0.86,497.6,0.92,14.430239654801905,C,importado,reciclado,reprovado
0.82,519.2,1.08,0.11787565053612281,B,local,,reprovado
1.28,,0.98,10.387217013448163,C,importado,reciclado,reprovado
1.17,494.2,0.94,7.611664868074477,B,importado,reciclado,aprovado
1.41,485.8,1.18,13.53872835036861,C,local,novo,reprovado
1.15,518.6,0.94,5.710459190321639,C,local,novo,reprovado
0.96,480.6,1.1,7.779666284519261,A,importado,novo,reprovado
,507.3,1.17,11.13509087870079,B,local,novo,reprovado
,515.2,0.95,0.7134981498378345,B,local,novo,reprovado
1.45,481.0,0.96,0.8171286153753232,A,,novo,reprovado
0.98,509.0,1.07,3.1750912325689313,C,local,novo,reprovado
0.92,520.0,1.05,2.196368752938431,B,local,novo,reprovado
1.15,505.6,1.06,0.09665202500839298,B,importado,reciclado,aprovado
0.84,496.6,1.07,9.34484733159316,B,local,reciclado,reprovado
0.83,515.0,1.18,11.939069511840113,A,importado,novo,
1.15,502.2,,14.356724645033866,A,importado,novo,reprovado
0.95,510.0,1.13,6.613504765078774,B,local,reciclado,reprovado
0.81,503.5,0.97,4.195809873623525,C,local,novo,reprovado
1.01,481.5,1.01,12.958536731677462,C,local,novo,reprovado
,488.5,0.93,12.665934192590885,A,importado,novo,reprovado
1.08,483.2,1.03,9.37264816400555,C,local,novo,reprovado
0.89,484.3,1.14,,A,importado,reciclado,reprovado
1.21,480.6,0.93,13.627763923589017,B,local,novo,reprovado
1.3,496.8,0.98,2.6760200503766858,B,importado,novo,aprovado
1.27,487.1,1.01,0.6546975546552841,B,local,reciclado,reprovado
1.08,,0.93,11.949274270910465,A,importado,reciclado,reprovado
0.9,510.0,1.13,8.454885906516878,C,local,novo,reprovado
1.15,502.9,1.14,3.6970172567778774,B,local,reciclado,aprovado
1.42,499.6,1.15,10.06343493480319,C,importado,reciclado,reprovado
1.13,490.2,1.08,11.50074785719148,C,importado,novo,reprovado
0.94,499.0,1.05,12.668189270134404,A,importado,reciclado,reprovado
0.87,505.6,0.98,4.231890239529468,A,importado,reciclado,reprovado
1.46,511.3,1.1,0.38381176877924084,C,importado,novo,reprovado
1.32,483.3,1.03,7.6505823004027915,C,importado,reciclado,reprovado
1.02,508.3,1.19,,,local,novo,reprovado
1.01,509.7,1.19,3.1173200589290726,B,importado,novo,aprovado
1.43,502.4,1.17,6.316882096778077,B,local,novo,reprovado
0.92,488.6,1.01,3.8463110262733307,C,importado,novo,reprovado
1.17,501.6,1.01,0.20043977135864532,A,importado,reciclado,aprovado
1.3,500.1,1.16,13.477861446650204,C,importado,reciclado,reprovado
1.08,499.0,1.12,2.0257984006348733,B,importado,reciclado,aprovado
0.83,498.4,1.11,11.501506736302604,B,importado,reciclado,reprovado
0.96,484.4,0.98,5.199048476874908,A,local,novo,reprovado
1.43,487.3,1.15,4.165228633599979,C,local,reciclado,reprovado
1.17,483.9,1.07,14.115433297580529,B,importado,novo,reprovado
1.37,489.7,1.03,9.857992301109636,A,local,novo,reprovado
1.19,,1.16,10.303839928822137,B,local,novo,reprovado
1.46,489.8,1.02,11.394793776807669,A,importado,reciclado,reprovado
1.44,488.4,1.1,,C,importado,reciclado,
1.14,509.4,1.04,,A,importado,novo,reprovado
1.02,512.7,1.08,,C,,reciclado,reprovado
1.22,,0.91,12.518122732153035,C,importado,reciclado,
1.27,492.2,1.04,8.9896106894799,B,local,novo,reprovado
1.15,513.8,1.07,3.6511023906167646,C,local,reciclado,reprovado
1.38,505.0,1.05,13.496376094826672,B,importado,novo,reprovado
0.93,491.7,1.15,8.712600007257777,B,local,reciclado,reprovado
1.03,508.5,0.99,7.425457548861195,C,local,reciclado,aprovado
1.28,493.8,1.17,0.5173137964795071,A,importado,reciclado,aprovado
0.97,503.5,1.02,13.647030077409187,C,importado,novo,
1.11,519.7,1.11,14.284108740470671,C,importado,novo,reprovado
1.47,492.1,0.93,8.438979417567058,A,local,reciclado,reprovado
1.24,517.2,0.96,6.63770030421836,B,importado,reciclado,reprovado
1.46,492.8,1.13,5.393475990070354,B,importado,novo,reprovado
1.31,501.6,0.9,4.020719738040535,C,,novo,reprovado
,498.4,1.19,8.617940067063094,A,local,reciclado,reprovado
1.21,511.3,0.96,1.9214257952184806,A,importado,novo,reprovado
0.9,482.4,1.17,13.787604123677102,A,local,novo,reprovado
1.16,505.1,,2.639381070867312,A,importado,reciclado,aprovado
0.98,510.4,1.07,11.18269893515276,C,local,novo,reprovado
1.5,498.9,0.93,4.603316585529773,C,local,reciclado,reprovado
0.99,484.2,1.01,3.3910661651801743,B,local,reciclado,reprovado
0.96,489.8,0.95,8.368037690321696,A,importado,novo,reprovado
1.24,507.2,1.06,11.476874717392576,C,local,novo,reprovado
1.16,515.8,1.07,10.901050034104719,C,local,novo,reprovado
0.81,496.9,1.11,3.5063452634581123,A,local,reciclado,reprovado
0.89,502.4,1.16,4.957535254044014,A,,reciclado,reprovado
1.37,489.1,1.04,13.032482745005641,B,local,novo,reprovado
1.14,496.5,0.97,10.848656167746121,,importado,reciclado,reprovado
0.9,493.5,,10.69040858028843,B,importado,reciclado,reprovado
1.13,506.2,1.15,4.0335761449783645,B,importado,reciclado,aprovado
0.98,519.4,0.94,11.880064615116533,A,importado,reciclado,reprovado
0.96,512.5,1.09,5.376266931486567,A,importado,reciclado,reprovado
1.47,487.7,0.9,,C,local,reciclado,reprovado
1.05,503.1,0.97,4.313416335010891,A,local,novo,aprovado
0.83,,1.08,1.8208537055886294,A,importado,reciclado,reprovado
1.48,489.9,1.04,6.3059034449369715,B,importado,reciclado,reprovado
1.36,486.9,1.05,0.2540925288355289,A,local,reciclado,reprovado
0.98,493.4,1.1,6.838653591408896,C,local,novo,reprovado
1.09,507.2,0.97,10.875096571547294,C,importado,reciclado,reprovado
1.4,500.0,0.98,14.411175491467127,A,importado,reciclado,reprovado
1.05,517.3,1.11,1.1791971684905012,A,importado,novo,reprovado
1.2,488.5,1.06,4.219360562632426,B,importado,reciclado,reprovado
1.17,494.6,0.9,7.411965774175504,A,local,novo,aprovado
1.08,493.2,1.1,2.5558192305287446,B,importado,novo,aprovado
,489.4,1.09,,A,importado,reciclado,reprovado
1.13,519.7,0.92,6.784771581758258,B,importado,novo,reprovado
0.81,495.5,1.12,8.710957933383101,C,local,novo,reprovado
1.37,,1.06,12.303115898195433,A,importado,novo,reprovado
0.88,495.6,0.96,14.96705132691268,A,importado,reciclado,reprovado
1.12,488.2,1.07,11.61406169980777,B,local,reciclado,reprovado
1.21,484.8,1.08,3.320106779494804,B,importado,reciclado,reprovado
1.29,514.2,1.18,11.219671031418713,A,importado,novo,reprovado
1.09,481.3,1.12,8.057304364786235,B,local,reciclado,reprovado
1.31,518.6,0.99,6.762143635551584,A,importado,reciclado,
,496.7,0.94,14.035927408609044,C,importado,novo,reprovado
1.26,489.9,1.16,10.531388803794922,B,local,novo,reprovado
1.38,504.7,1.15,10.225396103159369,A,importado,reciclado,reprovado
1.42,485.3,0.95,0.17633947091400315,C,importado,reciclado,reprovado
1.21,482.9,0.92,12.976072370696745,A,importado,reciclado,
,513.1,,11.899507161154666,A,importado,reciclado,reprovado
0.91,497.0,1.12,4.484128168956639,C,local,reciclado,reprovado
1.04,500.7,0.95,4.3817011875991305,B,importado,reciclado,
1.18,487.1,1.1,0.8021769007785007,C,local,novo,reprovado
0.94,482.5,0.98,0.7628463559301574,A,importado,reciclado,reprovado
1.47,494.7,0.98,10.02891770192522,C,importado,novo,reprovado
,500.2,1.0,2.793564193616691,A,importado,novo,reprovado
0.82,510.6,1.06,13.853217747578258,C,importado,novo,
1.19,500.0,1.14,12.636066420374288,B,importado,reciclado,reprovado
1.35,511.3,1.05,5.233277400482756,C,local,reciclado,reprovado
0.97,484.6,0.99,,C,importado,reciclado,reprovado
1.17,482.6,1.17,4.909148412821709,B,importado,novo,reprovado
1.08,486.4,0.92,1.3859236978763896,A,local,novo,reprovado
0.94,510.9,1.14,0.47145236475326924,C,local,,reprovado
1.23,510.4,,6.7819973750984595,A,importado,reciclado,reprovado
1.5,485.7,0.98,14.145601717372415,C,local,novo,reprovado
1.06,481.2,0.96,13.758739812287029,B,importado,novo,reprovado
1.19,507.4,1.16,12.147581116820467,C,importado,novo,reprovado
1.03,514.2,1.07,9.428923911645072,A,importado,novo,reprovado
1.41,510.2,0.91,12.843336100371733,A,local,novo,reprovado
1.41,488.1,1.17,7.726027765973463,B,importado,novo,reprovado
0.93,503.4,1.0,2.702401995309476,A,local,reciclado,reprovado
,510.3,1.0,10.262555216838477,B,local,reciclado,reprovado
0.91,490.2,1.09,13.809690527677429,B,local,novo,reprovado
0.87,501.1,1.1,0.2940764610862018,A,importado,reciclado,reprovado
